,title,description,article_text
10,Cristiano Ronaldo vs Lionel Messi: Who is better and is the GOAT in football? The stats head-to-head showdown,"A serious discussion point on five-a-side pitches and barstools across the world, the issue of which player is the greatest of all time persists"," Cristiano Ronaldo versus Lionel Messi - who is the GOAT? It is the biggest conundrum in football since the 'Diego Maradona or Pele?' debate. The question of who is better between the Portuguese phenomenon and the empyrean Argentine has dominated the minds of football fans everywhere for the past decade and will persist into the future. Club and national loyalties can cloud judgement on the matter, while personalities also play a part in how good a player is perceived to be, and most people know who they'd pick. So who really is the greatest of all time? Never mind who you prefer, GOAL has taken a look at how the pair actually shape up head-to-head so you can be fully armed with facts in the eternal argument.  On this page Cristiano Ronaldo vs Lionel Messi: Club goals Ronaldo has scored more club goals than Messi, but only just and it should be noted that the Manchester United star benefits from having played two more seasons than his Argentine nemesis thus far. Each of them has remarkably netted over 690 club goals in their career so far, with the five seasons between 2009-10 and 2014-15 proving particularly golden as they pushed each other to greater heights. While Ronaldo currently has more goals overall, Messi has the edge in the scoring department, with a higher season average (37.9 to 35), having hit a high of 73 goals in 2011-12, though his average dropped after a disappointing maiden campaign at PSG in 2021-22. Ronaldo's highest season return was 61, which he achieved in 2014-15, and he surpassed the 50-goal mark every season for six years between 2010-11 and 2015-16. Interestingly, while Ronaldo's seasonal totals have declined somewhat in recent years - he failed to break the 30-goal mark in 2018-19 during his first season at Juventus - Messi's have remained consistent, though the Argentine's rate slowed after joining PSG. Cristiano Ronaldo vs Lionel Messi: Club assists (Opta) When it comes to assists, Messi is much superior to Ronaldo and that contrast has become increasingly stark as their respective roles evolve. The fact that Messi creates so many goals as well as scoring them is a major consideration when deciding which player is the GOAT and, while Ronaldo chips in with his fair share, the difference in this particular realm is stark. Cristiano Ronaldo vs Lionel Messi: Champions League stats *As of Champions League games played in 2022-23. Ronaldo is the all-time leading goalscorer in the Champions League, having shone in the competition with Manchester United and Real Madrid in particular. However, Messi isn't far behind and actually has a fractionally better goal-per-game ratio, so there is a good chance that he could overtake the Man United man if he continues to sparkle in the competition . Ronaldo also holds the record for most overall Champions League appearances, having overtaken Iker Casillas. Cristiano Ronaldo vs Lionel Messi: World Cup stats When it comes to World Cups, Ronaldo and Messi are considered underperformers due to the simple fact that neither has won the competition. Portugal star Ronaldo has scored more goals at the tournament and in fewer appearances, but Messi can claim to have gone furthest, having reached the final with Argentina in 2014. The PSG attacker won the Golden Ball during that tournament, despite missing out on the ultimate glory at the hands of Germany. The furthest Ronaldo reached with Portugal was the Selecao's run to the semi-final in 2006, when they were beaten by France before losing the third-place play-off against Germany. Cristiano Ronaldo vs Lionel Messi: International stats Ronaldo and Messi have similar records at international level, though Ronaldo boasts greater numbers, partly because his senior Portugal career kicked off two years before Messi's with Argentina. Ronaldo equalled Ali Daei's record of 109 international goals at Euro 2020 and then surpassed it with two goals against the Republic of Ireland, becoming the top international goalscorer of all time. Messi is a long way behind Ronaldo in that respect, though he is by some distance Argentina's top goalscorer of all time, surpassing the great Gabriel Batistuta some years ago. Cristiano Ronaldo vs Lionel Messi: Titles    *National Cups refers to the main national cup competition in a country only, e.g. the FA Cup, Copa del Rey etc. Messi and Ronaldo have very similar trophy hauls, but Messi edges things when it comes to league titles, having won La Liga 10 times with Barcelona. Ronaldo has seven league titles, but unlike Messi, he can claim to have won the league in three different countries (England, Spain and Italy) - something that increases his claim to the GOAT crown in the eyes of some. Ronaldo has an edge over Messi in the Champions League, his love affair with the competition earning him the moniker 'Mr Champions League'. The Manchester United star has also enjoyed notable success on the international stage with Portugal, winning the European Championship and the UEFA Nations League. Messi, on the other hand, has endured considerable heartache with Argentina, with four unsuccessful Copa America campaigns, three of which saw them lose in the final. He finally got his hands on the Copa in 2021, before going to win the 2022 Finalissima. While neither has won the World Cup, Messi has an Olympic gold medal. Cristiano Ronaldo vs Lionel Messi: Individual awards The individual battle between Ronaldo and Messi has been the defining feature of modern football for the past decade and more. Messi went ahead of Ronaldo in the Ballon d'Or stakes when he won his sixth in 2019 and cemented his superior status in that field with his seventh in 2021. Ronaldo does boast more of FIFA's new 'The Best' awards and has been crowned UEFA Player of the Year on more occasions, but Messi has won more league Player of the Year accolades. Of course, it must be said that Ronaldo has won the Player of the Year award in England, Spain and Italy. Messi has got his hands on the European Golden Shoe a record six times, which is two more than Ronaldo, and is marginally ahead of his rival overall, but the fact that both have been on the FIFPro World XI 14 times is an illustration of how closely fought the battle has been. Which was the best World Cup winning team? Which was the best World Cup winning team?"
11,"How many goals has Lionel Messi scored for Argentina? Albiceleste star's full World Cup, Copa America and international friendly record",The Argentine has been banging in the goals for his country ever since opening his account in 2005," Lionel Messi is not just one of the best creators of chances around in the game, but he is lethal in front of goal himself as well. The Paris Saint-Germain star is Argentina's all-time leading goal scorer by some distance and holds numerous other goalscoring records, both at club and international level. For the national team, it all started with a tumultuous debut appearance against Hungary in 2005, with Messi receiving a red card barely a minute after coming off the bench. That was merely a blip on his journey to greatness, though, and the forward got his first Argentina goal at senior level in a 3-2 friendly loss against Croatia the following year. That turned out to be start of an impressive goalscoring run and Messi has since been able to celebrate goals more or less wherever he went. Just how many strikes does the Barcelona legend have to his name, though, and in which competitions did he find the net the most often? Lionel Messi's total Argentina goals Competition Games Goals World Cup 23 9 Copa America 34 13 World Cup qualification 60 28 Finalissima 1 0 International friendlies 51 44  169 94 How many goals has Lionel Messi scored at the World Cup? Edition Games Goals 2006 World Cup 3 1 2010 World Cup 5 0 2014 World Cup 7 4 2018 World Cup 4 1 2022 World Cup 4  23 9 Lionel Messi's Copa America record Edition Games Goals Copa America 2007 6 2 Copa America 2011 4 0 Copa America 2015 6 1 Copa America Centenario 2016 5 5 Copa America 2019 6 1 Copa America 2021 7 4  34 13 World Cup qualification goals Edition Goals 2010 World Cup qualifiers 4 2014 World Cup qualifiers 10 2018 World Cup qualifiers 7 2022 World Cup qualifiers 7  28 Messi in the Finalissima Edition Fixture Goals 2022 Italy 0-3 Argentina 0 Messi's friendly goals for Argentina Games Goals 51 44 Messi Argentina hat-tricks Match Goals Competition Date Switzerland 1-3 Argentina 3 Friendly February 29, 2012 Brazil 3-4 Argentina 3 Friendly June 9, 2012 Argentina 4-0 Guatemala 3 Friendly June 14, 2013 Argentina 5-0 Panama 3 Copa America Centenario June 10, 2016 Ecuador 1-3 Argentina 3 World Cup qualifiers October 10, 2017 Argentina 4-0 Haiti 3 Friendly May 29, 2018 Argentina 3-0 Bolivia 3 World Cup qualifiers September 9, 2021 Argentina 5-0 Estonia 5 Friendly June 5, 2022 Messi's favourite opponents Team Goals Bolivia 8 Ecuador 6 Uruguay 6 Brazil 5 Chile 5 Estonia 5 Paraguay 5 Venezuela 5 Colombia 3 Guatemala 3 Haiti 3 Nigeria 3 Panama 3 Switzerland 3 *Data accurate as of December 4 Which was the best World Cup winning team? Which was the best World Cup winning team?"
12,How many goals has Lionel Messi scored during his career? PSG star's jaw-dropping stats in full,"Lionel Messi has bagged an enormous amount of goals for his club and country, but just how many times in total has he found the net?"," Lionel Messi is undoubtedly one of the best players the world has ever seen. There. We said it. But how about Cristiano Ronaldo? Yes, of course, also one of the greatest ever. Just look at their stunning all-time career stats. It's something else. Let's stick to Messi for now, though.  The current PSG star is not just one of the best players overall, but also one of the most lethal goal scorers. He is Barcelona's all-time top goal scorer for a reason. He is LaLiga's all-time top goalscorer for a reason. He is the record holder for goals scored in a single calendar year for a reason. But how many goals has Messi scored in total during his outrageous career at Barcelona, PSG, and Argentina? Let’s take a look!"
13,"Who is Argentina's leading all-time top goal scorer? Messi, Batistuta, Crespo and the Albiceleste's most lethal strikers",The Albiceleste goalscoring chart features an illustrious roll-call of some of the best players to have represented the national team," Argentina are not just arguably one of the most feared national sides around in the game, but they have also produced some of the greatest attackers ever. Diego Maradona doesn't need any introduction. Neither does Lionel Messi. But there have been many more attacking greats representing the Albiceleste. Just think Mario Kempes, the hero of the 1978 World Cup. Or Gabriel Batistuta, one of Serie A's greatest-ever strikers. Who is Argentina's most lethal attacker ever, though? Let's take a look at the men leading their all-time goalscoring charts!"
14,'We wanted it so bad' - Christian Pulisic apologizes to USMNT fans after World Cup elimination,Christian Pulisic expressed disappointment at the U.S. men's national team's World Cup exit and said sorry to supporters.," WHAT HAPPENED? Pulisic was back in the starting XI after injury for the USMNT against the Netherlands at World Cup 2022 on Saturday but couldn't prevent his team being knocked out of the tournament. Louis van Gaal's side won 3-1 to progress to the quarter-finals, while the USMNT must now head home after another last-16 exit. WHAT THEY SAID: ""We’re sorry. We wanted it so bad and I hope that we gave you some kind of excitement and showed you a little bit of what this team is about, and thank you guys,"" he said. ""It hurts a lot right now. We thought we could advance and do a lot more this time around but I love these guys and we did a lot. It was an incredible experience, one I’ll always remember. It hurts right now but give it a couple of days and we can look back and be proud.” THE BIGGER PICTURE: The USMNT has now been eliminated from four of its five appearances in the round of 16 but will have reasons for optimism. Gregg Berhalter's squad is packed full of young talent with players such as Weston McKennie, Gio Reyna and Sergino Dest around. The team will also be well aware that the 2026 World Cup will be hosted in the United States, Mexico and Canada.  IN THREE PHOTOS:  DID YOU KNOW? Pulisic was directly involved in all three of the USMNT's goals at the 2022 World Cup (one goal, two assists).  WHAT NEXT FOR PULISIC? The forward will now switch focus back to Chelsea. The Blues return to Premier League action on December 27 against Bournemouth. Which was the best World Cup winning team? Which was the best World Cup winning team?"
15,WATCH: Lionel Messi scores first World Cup knockout goal of his career for Argentina against Australia,Lionel Messi opened the scoring for Argentina against Australia on Saturday in what was his first career World Cup knockout goal.," WHAT HAPPENED? Messi latched onto Nicolas Otamendi's set up following a pass in the box from Alexis Mac Allister, before steering the ball past Mathew Ryan and into the far corner to give Argentina an early lead in Al Rayyan. Despite a late goal from the Socceroos, Australia held on to win by an eventual 2-1 scoreline. LIONEL MESSI SCORES IN HIS 1000TH GAME 🔥That's 789 goals for the Argentina forward as he scores his first #FIFAWorldCup knockout strike 🤯#BBCFootball #BBCWorldCup pic.twitter.com/pioPUpZnhI MESSI MAGIC ✨🇦🇷That's the first knockout stage goal in Messi's FIFA World Cup career pic.twitter.com/wyzfdVfby3 THE BIGGER PICTURE: In the 1,000th game of his career, the boy from Rosario notched his first-ever goal in the knockout stages of a World Cup. Messi's strike against Australia was his third of the tournament in Qatar, which put his side ahead after a valiant start from the Socceroos. WHAT NEXT FOR MESSI? The 35-year-old's strike helped see Argentina through to the quarter-finals, where they will play the Netherlands after their 3-1 victory over the USMNT earlier on Saturday. Which was the best World Cup winning team? Which was the best World Cup winning team?"
16,Cristiano Ronaldo & the top 35 men's international goalscorers of all-time,"GOAL takes a look at the most prolific attackers in men's international football, which includes a wide variety of players from across the globe",
17,Listed: From Ronaldo to Richarlison - all the World Cup man of the match awards & how they're decided,"GOAL takes a look at how FIFA decides who receives each game's man of the match, and delves into the players who have won the award."," While choosing the best player from a minimum of 22 is a decision often shrouded in debate, this winter's World Cup has seen a few arguable selections across the first round of group matches. Behind this change could be the tournament's new selection process for the award, which includes the heavy involvement of fans online.  Budweiser's Player of the Match trophy is awarded through a public vote on the FIFA+ website. The window opens between the 60th and 88th minute of each game, in which fans from across the globe can cast their thoughts for each match's star player. Users are limited to one vote per match, and must be of legal age to register in order to be able to participate. There is no way of policing whether fans are watching the games in question, though, meaning several awards were handed to players that were arguably less deserving. Here is a look at all the man of the match winners across the tournament so far, and what each player did to deserve it."
18,USMNT goalkeeper Matt Turner hopeful World Cup effort will 'grow the game' in states,USMNT goalkeeper Matt Turner was focused on the bigger picture after his side exited the World Cup with a 3-1 defeat to the Netherlands on Saturday.," WHAT HAPPENED? The Arsenal shot-stopper, who started every one of the USMNT's matches in Qatar and impressed throughout, highlighted the importance of going far in the tournament in order to increase soccer's exposure as it continues to grow in the United States.  WHAT THEY SAID: ""It is always important for us to do well because we know it gets the most press and coverage on TV in the U.S.,"" Turner told the Evening Standard after the match. ""Good performances in the World Cup grows the game.""  THE BIGGER PICTURE: While Saturday's result will be bitterly disappointing for the USMNT, Turner's comments echo those of his manager. Gregg Berhalter pointed towards the growth of his side on the world stage, as his young team gained valuable experience in Qatar which it will undoubtedly take to the next tournament in 2026, when the U.S. will be one of three host countries alongside Canada and Mexico. IN THREE PHOTOS:  DID YOU KNOW? The USMNT's game against the Netherlands was the first in which Turner conceded a goal from open play in the tournament. The only other World Cup where the U.S. stopped an opponent from scoring a non-penalty goal in the group stages was in the inaugural tournament in 1930, when there were only two games. WHAT NEXT FOR TURNER? After disappointment in Qatar, Turner will return to club duty with Arsenal, where he has made four appearances since his transfer from the New England Revolution in the summer.  Which was the best World Cup winning team? Which was the best World Cup winning team?"
19,"Lionel Messi makes 1,000th appearance of his career for Argentina against Australia at World Cup 2022",Lionel Messi has chalked up another impressive milestone in his incredible career after being named in the starting XI on Saturday.," WHAT HAPPENED? Argentina legend Messi will make his 1000th career appearance in Qatar for La Albiceleste against Australia in the last 16 of the competition on Saturday. Messi will be hoping to inspire his team to a quarter-final spot after topping Group B. The Argentina captain has scored twice in the competition so far and created five chances for his side against Poland last time out. THE BIGGER PICTURE: Messi has already made history at the tournament. He broke Diego Maradona's record for World Cup appearances against Poland and has also become the first Argentina player to score at four World Cups with his goal against Saudi Arabia. DID YOU KNOW? Messi is looking to score in the knockout stages of the World Cup for Argentina for the first time, with all eight of his goals coming in the group stage. He’s had 23 efforts without scoring in the knockout stages, although he has assisted in the round of 16 in each of the 2010, 2014 and 2018 editions, making him the only player to assist in the knockout stages of the three previous tournaments. IN THREE PHOTOS: WHAT NEXT FOR MESSI? The Argentine will be hoping his appearance against Australia is not his last at World Cup 2022. Messi's already admitted that this tournament is his last chance to try and win the competition as a player. Which was the best World Cup winning team? Which was the best World Cup winning team?"
20,Van Gaal gives Dumfries 'big fat kiss' after the Netherlands beat USMNT at World Cup 2022,Netherlands boss Louis van Gaal was thrilled with Denzel Dumfries after the defender starred in the team's last-16 win on Saturday.," WHAT HAPPENED? Van Gaal's Dutch team beat the USMNT 3-1 at the World Cup on Saturday, with Dumfries scoring and picking up two assists. The manager spoke about the Inter defender after the game and was clearly thrilled by his contribution. WHAT THEY SAID: ""Yesterday I gave him a big fat kiss, and I am going to give him another one...There you go,"" he said at his post-match press conference after kissing Dumfries on stage. Van Gaal also shared his thoughts on his team's overall performance, adding: ""Our plan was to create space and that all worked out. One goal was more beautiful than the other. We have seen fantastic goals. In the third, the left wing-back serves the right wing-back, unbelievable."" THE BIGGER PICTURE: The Dutch are the first team through to the quarter-finals and now have some time to rest before their next match. Van Gaal is pleased to be able to take a breather. He said: ""We now have longer rest and that is important. I give the players a day off, they don't have to see me. And that's good, because they get a little sick of me."" IN THREE PHOTOS:   DID YOU KNOW? Van Gaal has lost none of his 11 World Cup games in charge (W8 D3) during regular time, the outright most for a manager in the competition. Only Felipe Scolari (12) has had a longer unbeaten start as a manager in World Cup history than Van Gaal (11). WHAT NEXT FOR THE NETHERLANDS? Van Gaal's side will play either Australia or Argentina in the quarter-finals of World Cup 2022. Which was the best World Cup winning team? Which was the best World Cup winning team?"
21,'We don’t have a Memphis Depay!' - USMNT coach Berhalter blames Netherlands' attacking firepower for World Cup exit,Gregg Berhalter highlighted the gulf in offensive quality between the USMNT and Netherlands after his side's 3-1 defeat on Saturday.," WHAT HAPPENED? The US bowed out of the last 16 of the World Cup despite a valiant display, and Berhalter attributed the loss to the Netherlands' clinical edge. The American head coach claimed that there was little to split the two sides, and pointed towards a particular Barcelona forward who made the difference on the day. WHAT THEY SAID: “We don’t have a Memphis Depay right now, who’s scoring in the Champions League,"" Berhalter proclaimed, despite Memphis never scoring a Champions League goal since joining Barcelona. “[The Netherlands] were clinical in their [scoring] opportunities in the first half. Other than that, there wasn’t much separating the teams.” THE BIGGER PICTURE: The USMNT scored just three goals in four World Cup matches, with Jesus Ferreira becoming their third striker to get the nod up top against the Netherlands. He too failed to make any meaningful contributions, though, and was substituted at half time for Gio Reyna. IN THREE PHOTOS: DID YOU KNOW? Memphis scored his 43rd international goal for the Netherlands, making him the player with the outright second-most goals for the Oranje behind Robin van Persie (50). WHAT NEXT FOR MEMPHIS? While Berhalter and the USMNT are heading home from Qatar, Memphis and the Netherlands progress to the quarter-finals, where the team will go on to face either Argentina or Australia. Which was the best World Cup winning team? Which was the best World Cup winning team?"
22,Argentina vs Australia : Lineups and LIVE updates,Argentina prepare to face Australia in a jaw-dropping round of 16 fixture," Argentina and Lionel Messi continue their hunt for the biggest prize in football but face a resilient Australian outfit in a mouth-watering round of 16 clash in Qatar.  After overcoming a poor outing against Saudi Arabia, Argentina managed to win their remaining fixtures against Mexico and Poland to secure a round of 16 ticket. La Albiceleste would now like to continue their winning streak and defeat Australia to continue their quest for glory.  Once again all eyes would be on Lionel Messi to guide Argentina to victory with a scintillating performance. Another positive for Argentina would be that they have defeated Australia in their previous 4 meetings, a streak Lionel Scaloni would want his squad to continue. Considering the gulf in quality between the two outfits, it would be a competitive fixture for the Australian team. The Socceroos surprised the world when they secured qualification from a competitive group. But despite the difference in stature, the Qatar World Cup has already witnessed some massive results and Australia could surely shock the world by beating Argentina. Argentina XI (4-3-3): E. Martinez; Molina, Otamendi, Romero, Acuna; Mac Allister, Fernandez, De Paul; Alvarez, Messi, Papu Gomez Australia XI (4-4-2): Ryan; Degenek, Souttar, Rowles, Behich; Leckie, Mooy, Irvine, Baccus; McGree, Duke  The winner of this round of 16 encounter will face Netherlands in the Quarter finals in Qatar. Which was the best World Cup winning team? Which was the best World Cup winning team?"
23,"Dutch dynamite! Netherlands winners, losers and ratings as Memphis Depay and Dumfries devastate USMNT to seal quarter-final spot",Louis van Gaal's men gave their American opponents a lesson in the art of clinical counter-attacks in a 3-1 victory at Khalifa International Stadium.," The Orange Army are on the march and Louis van Gaal is dreaming about the perfect retirement gift. His Netherlands side are the first to book their place in the World Cup quarter-finals, after a hard-fought 3-1 win over the USA in Doha.  Goals from Memphis Depay, Daley Blind and the brilliant Denzel Dumfries did the damage for the Dutch, with substitute Haji Wright's strike little consolation for the Americans, who paid the price for a sluggish first-half showing. Not that Van Gaal and his side will care about that, of course. Finalists in 2010 and semi-finalists in 2014, the Oranje will fancy their chances of another deep run here.  They await the winners of Saturday night's Argentina versus Australia clash, and with Memphis and Dumfries in this kind of form, and having conceded only two goals in four games at the tournament so far, they will take some beating. Here, GOAL runs through the winners and losers of another Dutch victory..."
